"Date","Particulars","Supplier","Voucher No.","Voucher Type","Value","Gross Total","Purchase ZCOL","IGST Tax","800012-Clearing Cess","CGST Tax","SGST Tax","Clean Engry Cess","BasicCustomsduty-Amt","Freight/Quantity","Handling Charges","Mat.INS-Fixed","Miscellaneous Chrges","DischargePort Ag.Chg","Steve dooring@Unload","Vessel Insurance","Wharfage Un. Charges","OTB Procurement","Freight(Fixed Value)","Mine Transpt charge","NMED FUND (2%)","NMED FUND (30%)","Royalty charges %","Rail.Term./MT","Rake Unl. Chr./MT","Sizing charges","Stoving Charges"
"03 Apr 2023","0000031495-DIGITECHNICAL SURVEY AND ENGINEERIN","0000031495-DIGITECHNICAL SURVEY AND ENGINEERIN","4540005585","Purcahse Order ZSER","12,500.00","14,750.00 Cr","","2,250.00 Dr","","","","","","","","","","","","","","","","","","","","","","",""
"04 Apr 2023","0000010214-Sri Ambaajee Electricals","0000010214-Sri Ambaajee Electricals","4500003396","Purcahse Order ZSPR","1,580.00","2,022.40 Cr","","","","221.20 Dr","221.20 Dr","","","","","","","","","","","","","","","","","","","",""
"04 Apr 2023","0000011882-KESAR ELECTRIC INDIA","0000011882-KESAR ELECTRIC INDIA","4500003397","Purcahse Order ZSPR","1,110.00","1,309.80 Cr","","","","99.90 Dr","99.90 Dr","","","","","","","","","","","","","","","","","","","",""
"04 Apr 2023","0000011496-TN Oxygen Private Limited","0000011496-TN Oxygen Private Limited","4510001659","Purcahse Order ZCON","28,477.00","33,602.86 Cr","","","","2,562.93 Dr","2,562.93 Dr","","","","","","","","","","","","","","","","","","","",""
"04 Apr 2023","0000010103-J.K.T Electricals","0000010103-J.K.T Electricals","4510001660","Purcahse Order ZCON","1,23,285.00","1,46,656.30 Cr","","","","11,095.65 Dr","11,095.65 Dr","","","","","","","","","","","","","","","","","","","",""
"04 Apr 2023","0000011466-Gandhi Industrial Electricals","0000011466-Gandhi Industrial Electricals","4510001661","Purcahse Order ZCON","1,59,050.00","1,87,679.00 Cr","","","","14,314.50 Dr","14,314.50 Dr","","","","","","","","","","","","","","","","","","","",""
"04 Apr 2023","0000030745-Sri Arunachalaswarar Engineering","0000030745-Sri Arunachalaswarar Engineering","4540005586","Purcahse Order ZSER","24,900.00","29,382.00 Cr","","","","2,241.00 Dr","2,241.00 Dr","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001040","Purcahse Order ZCOL","6,15,00,000.00","6,85,75,000.00 Cr","6,15,00,000.00 Dr","30,75,000.00 Dr","40,00,000.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001796","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001797","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001798","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001799","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001800","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001801","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001802","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001803","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"05 Apr 2023","","","4610001804","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000011211-Kutti & Nathan","0000011211-Kutti & Nathan","4500003398","Purcahse Order ZSPR","31,688.00","37,981.84 Cr","","","","2,851.92 Dr","2,851.92 Dr","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000011327-Trust Well Engineers India Pvt Ltd","0000011327-Trust Well Engineers India Pvt Ltd","4500003399","Purcahse Order ZSPR","2,37,540.00","2,85,017.20 Cr","","42,757.20 Dr","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000011496-TN Oxygen Private Limited","0000011496-TN Oxygen Private Limited","4510001662","Purcahse Order ZCON","16,640.00","19,635.20 Cr","","","","1,497.60 Dr","1,497.60 Dr","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000030359-RR Insulation","0000030359-RR Insulation","4540005587","Purcahse Order ZSER","4,40,427.60","5,19,704.56 Cr","","","","39,638.48 Dr","39,638.48 Dr","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000030359-RR Insulation","0000030359-RR Insulation","4540005590","Purcahse Order ZSER","3,99,005.40","4,70,826.38 Cr","","","","35,910.49 Dr","35,910.49 Dr","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000031405-Friends Engineering Enterprises","0000031405-Friends Engineering Enterprises","4540005591","Purcahse Order ZSER","18,300.00","21,594.00 Cr","","","","1,647.00 Dr","1,647.00 Dr","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","0000030565-B. Jaya Kumar","0000030565-B. Jaya Kumar","4540005592","Purcahse Order ZSER","50,000.00","59,000.00 Cr","","9,000.00 Dr","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001805","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001806","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001807","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001808","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001809","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001810","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001811","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001812","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001813","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"06 Apr 2023","","","4610001814","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","0000031405-Friends Engineering Enterprises","0000031405-Friends Engineering Enterprises","4540005593","Purcahse Order ZSER","17,000.00","20,060.00 Cr","","","","1,530.00 Dr","1,530.00 Dr","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","0000031405-Friends Engineering Enterprises","0000031405-Friends Engineering Enterprises","4540005594","Purcahse Order ZSER","9,100.00","10,738.00 Cr","","","","819.00 Dr","819.00 Dr","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","0000030745-Sri Arunachalaswarar Engineering","0000030745-Sri Arunachalaswarar Engineering","4540005595","Purcahse Order ZSER","10,742.40","12,676.04 Cr","","","","966.82 Dr","966.82 Dr","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","0000011492-Kaarthik Heat Transfer","0000011492-Kaarthik Heat Transfer","4540005596","Purcahse Order ZSER","8,500.00","10,030.00 Cr","","","","765.00 Dr","765.00 Dr","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001041","Purcahse Order ZCOL","7,62,20,000.00","8,40,31,000.00 Cr","7,62,20,000.00 Dr","38,11,000.00 Dr","40,00,000.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001042","Purcahse Order ZCOL","5,20,71,496.50","5,80,61,835.32 Cr","5,20,71,496.50 Dr","26,03,574.82 Dr","33,86,764.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001815","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001816","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001817","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001818","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001819","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001820","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001821","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001822","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"07 Apr 2023","","","4610001823","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000010702-Elmack Engg Services","0000010702-Elmack Engg Services","4500003400","Purcahse Order ZSPR","3,55,802.00","4,19,846.36 Cr","","","","32,022.18 Dr","32,022.18 Dr","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000010869-Emerging Technology","0000010869-Emerging Technology","4500003401","Purcahse Order ZSPR","97,755.00","1,15,350.90 Cr","","","","8,797.95 Dr","8,797.95 Dr","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000011538-Krishna Enterprises","0000011538-Krishna Enterprises","4540005597","Purcahse Order ZSER","1,69,328.20","1,99,807.28 Cr","","","","15,239.54 Dr","15,239.54 Dr","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000031405-Friends Engineering Enterprises","0000031405-Friends Engineering Enterprises","4540005598","Purcahse Order ZSER","1,50,000.00","1,77,000.00 Cr","","","","13,500.00 Dr","13,500.00 Dr","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000030060-J.S.R Enterprises","0000030060-J.S.R Enterprises","4540005599","Purcahse Order ZSER","23,400.00","27,612.00 Cr","","","","2,106.00 Dr","2,106.00 Dr","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000010353-M.L. Engineering","0000010353-M.L. Engineering","4540005600","Purcahse Order ZSER","39,235.00","46,297.30 Cr","","","","3,531.15 Dr","3,531.15 Dr","","","","","","","","","","","","","","","","","","","",""
"10 Apr 2023","0000010869-Emerging Technology","0000010869-Emerging Technology","4540005601","Purcahse Order ZSER","7,800.00","9,204.00 Cr","","","","702.00 Dr","702.00 Dr","","","","","","","","","","","","","","","","","","","",""
"11 Apr 2023","0000011965-MACROPO EXPANSION JOINTS PVT LTD","0000011965-MACROPO EXPANSION JOINTS PVT LTD","4500003402","Purcahse Order ZSPR","2,26,575.00","4,93,933.50 Cr","","","","20,391.75 Dr","20,391.75 Dr","","","","","","","","","","","","","","","","","","","",""
"11 Apr 2023","0000011884-NJ INDUSTRIAL PRODUCTS","0000011884-NJ INDUSTRIAL PRODUCTS","4510001665","Purcahse Order ZCON","1,20,000.00","1,43,960.00 Cr","","","","10,800.00 Dr","10,800.00 Dr","","","","","","","","","","","","","","","","","","","",""
"11 Apr 2023","0000010353-M.L. Engineering","0000010353-M.L. Engineering","4540005603","Purcahse Order ZSER","78,470.00","92,594.60 Cr","","","","7,062.30 Dr","7,062.30 Dr","","","","","","","","","","","","","","","","","","","",""
"11 Apr 2023","0000090145-Adani Enterprises Limited","0000090145-Adani Enterprises Limited","4600001043","Purcahse Order ZCOL","26,62,50,000.00","29,15,62,500.00 Cr","26,62,50,000.00 Dr","","1,20,00,000.00 Dr","66,56,250.00 Dr","66,56,250.00 Dr","","","","","","","","","","","","","","","","","","","",""
"11 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001044","Purcahse Order ZCOL","7,62,20,000.00","8,40,31,000.00 Cr","7,62,20,000.00 Dr","38,11,000.00 Dr","40,00,000.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"11 Apr 2023","0000090113-PT. BORNEO INDOBARA","0000090113-PT. BORNEO INDOBARA","4600001046","Purcahse Order ZCOL","58,95,012.30","62,79,549.38 Cr","58,95,012.30 Dr","","","","","3,84,537.08 Dr","","","","","","","","","","","","","","","","","","",""
"12 Apr 2023","0000011159-JJ Fasteners","0000011159-JJ Fasteners","4500003403","Purcahse Order ZSPR","15,400.00","18,172.00 Cr","","","","1,386.00 Dr","1,386.00 Dr","","","","","","","","","","","","","","","","","","","",""
"12 Apr 2023","0000011621-CKEE ENGINEERING PVT LTD","0000011621-CKEE ENGINEERING PVT LTD","4540005604","Purcahse Order ZSER","82,00,000.00","1,78,76,000.00 Cr","","","","7,38,000.00 Dr","7,38,000.00 Dr","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","0000011026-Chennai Hydraulics","0000011026-Chennai Hydraulics","4500003404","Purcahse Order ZSPR","7,220.00","8,519.60 Cr","","","","649.80 Dr","649.80 Dr","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","0000011164-Hydrotech Marketings","0000011164-Hydrotech Marketings","4500003405","Purcahse Order ZSPR","53,129.60","59,198.04 Cr","","","","3,034.22 Dr","3,034.22 Dr","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001824","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001825","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001826","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001827","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001828","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001829","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001830","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001831","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"13 Apr 2023","","","4610001832","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"15 Apr 2023","0000010278-Zion Enviro Systems (P) Ltd.","0000010278-Zion Enviro Systems (P) Ltd.","4510001668","Purcahse Order ZCON","25,200.00","29,736.00 Cr","","","","2,268.00 Dr","2,268.00 Dr","","","","","","","","","","","","","","","","","","","",""
"15 Apr 2023","0000011523-Nazrex Hard Tools Complex","0000011523-Nazrex Hard Tools Complex","4510001669","Purcahse Order ZCON","7,733.00","8,381.10 Cr","","","","324.05 Dr","324.05 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000010353-M.L. Engineering","0000010353-M.L. Engineering","4500003406","Purcahse Order ZSPR","8,65,200.00","10,20,936.00 Cr","","","","77,868.00 Dr","77,868.00 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000011137-Shabbir Tools Mart","0000011137-Shabbir Tools Mart","4500003407","Purcahse Order ZSPR","70,526.38","71,789.34 Cr","","","","631.48 Dr","631.48 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000011973-RBC BEARINGS PRIVATE  LIMITED","0000011973-RBC BEARINGS PRIVATE  LIMITED","4500003408","Purcahse Order ZSPR","37,430.60","81,598.74 Cr","","","","3,368.77 Dr","3,368.77 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000010570-Goodwill Engineering Company","0000010570-Goodwill Engineering Company","4510001670","Purcahse Order ZCON","25,950.00","30,621.00 Cr","","","","2,335.50 Dr","2,335.50 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000011884-NJ INDUSTRIAL PRODUCTS","0000011884-NJ INDUSTRIAL PRODUCTS","4510001671","Purcahse Order ZCON","15,200.00","17,024.00 Cr","","","","912.00 Dr","912.00 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000030905-Mitsubishi Elevator India Pvt.Ltd","0000030905-Mitsubishi Elevator India Pvt.Ltd","4540005606","Purcahse Order ZSER","1,66,579.00","1,96,563.22 Cr","","","","14,992.11 Dr","14,992.11 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000030060-J.S.R Enterprises","0000030060-J.S.R Enterprises","4540005607","Purcahse Order ZSER","38,004.60","44,845.42 Cr","","","","3,420.41 Dr","3,420.41 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000030910-Guindy Chennai Stays","0000030910-Guindy Chennai Stays","4540005608","Purcahse Order ZSER","44,800.00","50,176.00 Cr","","","","2,688.00 Dr","2,688.00 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000010936-Ideatec Softwares (India) Pvt Ltd","0000010936-Ideatec Softwares (India) Pvt Ltd","4540005609","Purcahse Order ZSER","33,750.00","39,825.00 Cr","","","","3,037.50 Dr","3,037.50 Dr","","","","","","","","","","","","","","","","","","","",""
"17 Apr 2023","0000011777-Envea India Private Limited","0000011777-Envea India Private Limited","4540005610","Purcahse Order ZSER","45,000.00","53,100.00 Cr","","","","4,050.00 Dr","4,050.00 Dr","","","","","","","","","","","","","","","","","","","",""
"18 Apr 2023","0000010995-Alekton Engineering Industries PVT.","0000010995-Alekton Engineering Industries PVT.","4500003409","Purcahse Order ZSPR","6,10,000.00","6,64,900.00 Cr","","","","27,450.00 Dr","27,450.00 Dr","","","","","","","","","","","","","","","","","","","",""
"18 Apr 2023","0000010353-M.L. Engineering","0000010353-M.L. Engineering","4540005611","Purcahse Order ZSER","15,000.00","17,700.00 Cr","","","","1,350.00 Dr","1,350.00 Dr","","","","","","","","","","","","","","","","","","","",""
"18 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001047","Purcahse Order ZCOL","7,62,20,000.00","8,40,31,000.00 Cr","7,62,20,000.00 Dr","38,11,000.00 Dr","40,00,000.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"19 Apr 2023","0000010570-Goodwill Engineering Company","0000010570-Goodwill Engineering Company","4510001673","Purcahse Order ZCON","22,825.00","26,738.50 Cr","","","","1,956.75 Dr","1,956.75 Dr","","","","","","","","","","","","","","","","","","","",""
"19 Apr 2023","0000010390-Sartech INTL","0000010390-Sartech INTL","4540005612","Purcahse Order ZSER","2,04,957.60","2,37,259.96 Cr","","","","16,151.18 Dr","16,151.18 Dr","","","","","","","","","","","","","","","","","","","",""
"19 Apr 2023","0000030781-Shree Abirami Engg Works","0000030781-Shree Abirami Engg Works","4540005613","Purcahse Order ZSER","45,400.00","53,572.00 Cr","","","","4,086.00 Dr","4,086.00 Dr","","","","","","","","","","","","","","","","","","","",""
"19 Apr 2023","0000011152-Arya Omnitalk Wireless Solutions Pv","0000011152-Arya Omnitalk Wireless Solutions Pv","4540005614","Purcahse Order ZSER","1,28,000.00","1,51,040.00 Cr","","23,040.00 Dr","","","","","","","","","","","","","","","","","","","","","","",""
"19 Apr 2023","0000031504-THIRUMURUGAN TRACTOR WORKS","0000031504-THIRUMURUGAN TRACTOR WORKS","4540005615","Purcahse Order ZSER","96,500.00","1,93,000.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"19 Apr 2023","","","4610001833","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","0000010210-South India Engineering Corporation","0000010210-South India Engineering Corporation","4510001674","Purcahse Order ZCON","53,600.00","63,248.00 Cr","","","","4,824.00 Dr","4,824.00 Dr","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","0000011006-Madura Tarpaulin Mfg. Co.","0000011006-Madura Tarpaulin Mfg. Co.","4510001675","Purcahse Order ZCON","36,960.00","44,202.80 Cr","","","","3,326.40 Dr","3,326.40 Dr","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","0000011603-Garuda Elevators Pvt.Ltd","0000011603-Garuda Elevators Pvt.Ltd","4540005616","Purcahse Order ZSER","40,000.00","87,200.00 Cr","","","","3,600.00 Dr","3,600.00 Dr","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","0000030946-Digital & Control Systems","0000030946-Digital & Control Systems","4540005617","Purcahse Order ZSER","83,000.00","83,000.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","0000090000-Adani Global Pte Ltd","0000090000-Adani Global Pte Ltd","4600001048","Purcahse Order ZCOL","32,12,026.92","35,87,108.41 Cr","32,12,026.92 Dr","","","","","3,75,081.49 Dr","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","0000010039-Chennai Ferrous Industries Ltd","0000010039-Chennai Ferrous Industries Ltd","4600001049","Purcahse Order ZCOL","7,62,20,000.00","8,40,31,000.00 Cr","7,62,20,000.00 Dr","38,11,000.00 Dr","40,00,000.00 Dr","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001834","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001835","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001836","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001837","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001838","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001839","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001840","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001841","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001842","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"20 Apr 2023","","","4610001843","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"21 Apr 2023","0000011468-S & V Engineering Services","0000011468-S & V Engineering Services","4500003410","Purcahse Order ZSPR","12,900.00","15,222.00 Cr","","","","1,161.00 Dr","1,161.00 Dr","","","","","","","","","","","","","","","","","","","",""
"21 Apr 2023","0000030946-Digital & Control Systems","0000030946-Digital & Control Systems","4540005618","Purcahse Order ZSER","1,18,000.00","1,18,000.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"21 Apr 2023","0000030876-Power Tech Electrical Engineering","0000030876-Power Tech Electrical Engineering","4540005619","Purcahse Order ZSER","77,000.00","90,860.00 Cr","","","","6,930.00 Dr","6,930.00 Dr","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001844","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001845","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001846","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001847","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001848","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001849","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001850","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
"22 Apr 2023","","","4610001851","Purcahse Order ZSTO","0.00","0.00 Cr","","","","","","","","","","","","","","","","","","","","","","","","",""
